Approval ID,Request ID,Request Type,Requester,Department,Request Date,Description,Amount,Quantity,Priority,Status,Approver,Decision Date,Decision,Comment,Product ID,Product Name
APR-000001,EXP-2026-000001,Expenditure,Demo Administrator,Administration,2026-07-29,Demo expenditure request EXP-2026-000001,144000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000002,EXP-2026-000002,Expenditure,Demo Administrator,Administration,2026-08-04,Demo expenditure request EXP-2026-000002,115000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:04:29,Approved,,,
APR-000003,EXP-2026-000003,Expenditure,Demo Administrator,Administration,2026-07-31,Demo expenditure request EXP-2026-000003,370000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:04:32,Approved,,,
APR-000004,EXP-2026-000004,Expenditure,Demo Administrator,Administration,2026-08-02,Demo expenditure request EXP-2026-000004,298000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000005,EXP-2026-000005,Expenditure,Demo Administrator,Administration,2026-07-27,Demo expenditure request EXP-2026-000005,342000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:06:01,Approved,,,
APR-000006,EXP-2026-000006,Expenditure,Demo Administrator,Administration,2026-07-26,Demo expenditure request EXP-2026-000006,300000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000007,EXP-2026-000007,Expenditure,Demo Administrator,Administration,2026-07-30,Demo expenditure request EXP-2026-000007,212000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:11:27,Approved,,,
APR-000008,EXP-2026-000008,Expenditure,Demo Administrator,Administration,2026-08-03,Demo expenditure request EXP-2026-000008,55000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000009,EXP-2026-000009,Expenditure,Demo Administrator,Administration,2026-07-25,Demo expenditure request EXP-2026-000009,147000.0,0.0,Normal,Rejected,,,Rejected,Demo approval workflow,,
APR-000010,EXP-2026-000010,Expenditure,Demo Administrator,Administration,2026-07-28,Demo expenditure request EXP-2026-000010,326000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000011,EXP-2026-000011,Expenditure,Demo Administrator,Administration,2026-08-12,Demo expenditure request EXP-2026-000011,146000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:11:29,Approved,,,
APR-000012,EXP-2026-000012,Expenditure,Demo Administrator,Administration,2026-07-29,Demo expenditure request EXP-2026-000012,205000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:11:31,Approved,,,
APR-000013,EXP-2026-000013,Expenditure,Demo Administrator,Administration,2026-08-06,Demo expenditure request EXP-2026-000013,281000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000014,EXP-2026-000014,Expenditure,Demo Administrator,Administration,2026-08-08,Demo expenditure request EXP-2026-000014,71000.0,0.0,Normal,Pending Approval,,,,Demo approval workflow,,
APR-000015,EXP-2026-000015,Expenditure,Demo Administrator,Administration,2026-08-12,Demo expenditure request EXP-2026-000015,340000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000016,EXP-2026-000016,Expenditure,Demo Administrator,Administration,2026-08-13,Demo expenditure request EXP-2026-000016,365000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000017,EXP-2026-000017,Expenditure,Demo Administrator,Administration,2026-08-13,Demo expenditure request EXP-2026-000017,224000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000018,EXP-2026-000018,Expenditure,Demo Administrator,Administration,2026-07-30,Demo expenditure request EXP-2026-000018,293000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000019,EXP-2026-000019,Expenditure,Demo Administrator,Administration,2026-08-03,Demo expenditure request EXP-2026-000019,204000.0,0.0,Normal,Approved,Demo Administrator,2026-08-15 13:04:24,Approved,,,
APR-000020,EXP-2026-000020,Expenditure,Demo Administrator,Administration,2026-08-11,Demo expenditure request EXP-2026-000020,65000.0,0.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo approval workflow,,
APR-000021,REQ-2026-000001,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Classic Cream — demo wholesale replenishment,0.0,93.0,Urgent,Pending Approval,,,,,PROD-000001,Classic Cream
APR-000022,REQ-2026-000002,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Coconut Crunch — demo wholesale replenishment,0.0,42.0,Urgent,Pending Approval,,,,,PROD-000002,Coconut Crunch
APR-000023,REQ-2026-000003,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Golden Crunch — demo wholesale replenishment,0.0,98.0,Urgent,Pending Approval,,,,,PROD-000003,Golden Crunch
APR-000024,REQ-2026-000004,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Cocoa Sandwich — demo wholesale replenishment,0.0,47.0,Normal,Pending Approval,,,,,PROD-000004,Cocoa Sandwich
APR-000025,REQ-2026-000005,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Classic Crackers — demo wholesale replenishment,0.0,114.0,Normal,Pending Approval,,,,,PROD-000005,Classic Crackers
APR-000026,REQ-2026-000006,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Caramel Cream — demo wholesale replenishment,0.0,114.0,Normal,Pending Approval,,,,,PROD-000006,Caramel Cream
APR-000027,REQ-2026-000007,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Milk Crunch — demo wholesale replenishment,0.0,87.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo warehouse approval,PROD-000007,Milk Crunch
APR-000028,REQ-2026-000008,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Classic Crackers — demo wholesale replenishment,0.0,44.0,Normal,Approved,Demo Manager,2026-08-14 00:00:00,Approved,Demo warehouse approval,PROD-000008,Classic Crackers
APR-000029,REQ-2026-000009,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Vanilla Cream — demo wholesale replenishment,0.0,37.0,Normal,Completed,Demo Manager,2026-08-14 00:00:00,Approved,Demo warehouse approval,PROD-000009,Vanilla Cream
APR-000030,REQ-2026-000010,Stock Request,Demo Warehouse Officer,Sales / Distribution,2026-08-14 00:00:00,Milk Crunch — demo wholesale replenishment,0.0,77.0,Normal,Completed,Demo Manager,2026-08-14 00:00:00,Approved,Demo warehouse approval,PROD-000010,Milk Crunch
APR-000031,REQ-2026-000011,Stock Request,Demo Administrator,Sales / Distribution,2026-08-15 13:06:17,Caramel Cream — ,0.0,100.0,Normal,Approved,Demo Administrator,2026-08-15 13:11:24,Approved,,PROD-000006,Caramel Cream
APR-000032,REQ-2026-000012,Stock Request,Demo Administrator,Sales / Distribution,2026-08-15 13:06:28,Caramel Cream — ,0.0,100.0,Normal,Approved,Demo Administrator,2026-08-15 13:06:46,Approved,,PROD-000006,Caramel Cream
