Expenditure ID,Request ID,Date,Department,Requester,Expense Category,Description,Amount Requested,Amount Approved,Amount Paid,Payment Status,Approval Status,Approver,Approval Date,Payment Date,Payment Method,Payment Reference,Supporting Document,Notes
EXP-2026-000001,EXP-2026-000001,2026-07-29,Sales,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000001,144000,144000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000002,EXP-2026-000002,2026-08-04,Logistics,Demo Administrator,Vehicle Maintenance,Demo expenditure request EXP-2026-000002,115000,115000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:04:29,,,,,Demo expenditure
EXP-2026-000003,EXP-2026-000003,2026-07-31,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000003,370000,370000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:04:32,,,,,Demo expenditure
EXP-2026-000004,EXP-2026-000004,2026-08-02,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000004,298000,298000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000005,EXP-2026-000005,2026-07-27,Administration,Demo Administrator,Logistics,Demo expenditure request EXP-2026-000005,342000,342000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:06:01,,,,,Demo expenditure
EXP-2026-000006,EXP-2026-000006,2026-07-26,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000006,300000,300000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000007,EXP-2026-000007,2026-07-30,Sales,Demo Administrator,Utilities,Demo expenditure request EXP-2026-000007,212000,212000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:11:27,,,,,Demo expenditure
EXP-2026-000008,EXP-2026-000008,2026-08-03,Sales,Demo Administrator,Warehouse Expenses,Demo expenditure request EXP-2026-000008,55000,55000,55000,Paid,Approved,Demo Manager,2026-08-14 00:00:00,2026-08-14 00:00:00,Bank Transfer,DEMO-EXP-00008,,Demo expenditure
EXP-2026-000009,EXP-2026-000009,2026-07-25,Administration,Demo Administrator,Utilities,Demo expenditure request EXP-2026-000009,147000,0,0,Unpaid,Rejected,,,,,,,Demo expenditure
EXP-2026-000010,EXP-2026-000010,2026-07-28,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000010,326000,326000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000011,EXP-2026-000011,2026-08-12,Administration,Demo Administrator,Vehicle Maintenance,Demo expenditure request EXP-2026-000011,146000,146000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:11:29,,,,,Demo expenditure
EXP-2026-000012,EXP-2026-000012,2026-07-29,Administration,Demo Administrator,Fuel,Demo expenditure request EXP-2026-000012,205000,205000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:11:31,,,,,Demo expenditure
EXP-2026-000013,EXP-2026-000013,2026-08-06,Warehouse,Demo Administrator,Utilities,Demo expenditure request EXP-2026-000013,281000,281000,281000,Paid,Approved,Demo Manager,2026-08-14 00:00:00,2026-08-14 00:00:00,Bank Transfer,DEMO-EXP-00013,,Demo expenditure
EXP-2026-000014,EXP-2026-000014,2026-08-08,Warehouse,Demo Administrator,Fuel,Demo expenditure request EXP-2026-000014,71000,0,0,Unpaid,Pending Approval,,,,,,,Demo expenditure
EXP-2026-000015,EXP-2026-000015,2026-08-12,Administration,Demo Administrator,Vehicle Maintenance,Demo expenditure request EXP-2026-000015,340000,340000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000016,EXP-2026-000016,2026-08-13,Warehouse,Demo Administrator,Warehouse Expenses,Demo expenditure request EXP-2026-000016,365000,365000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000017,EXP-2026-000017,2026-08-13,Sales,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000017,224000,224000,224000,Paid,Approved,Demo Manager,2026-08-14 00:00:00,2026-08-14 00:00:00,Bank Transfer,DEMO-EXP-00017,,Demo expenditure
EXP-2026-000018,EXP-2026-000018,2026-07-30,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000018,293000,293000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
EXP-2026-000019,EXP-2026-000019,2026-08-03,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000019,204000,204000,0,Unpaid,Approved,Demo Administrator,2026-08-15 13:04:24,,,,,Demo expenditure
EXP-2026-000020,EXP-2026-000020,2026-08-11,Administration,Demo Administrator,Office Supplies,Demo expenditure request EXP-2026-000020,65000,65000,0,Unpaid,Approved,Demo Manager,2026-08-14 00:00:00,,,,,Demo expenditure
