Sale Item ID,Sale ID,Product ID,Product Name,Quantity,Unit Price,Discount,Line Total
SLITEM-000001,SALE-2026-000001,PROD-000141,Classic Crackers,15.0,15000.0,0.0,225000.0
SLITEM-000002,SALE-2026-000002,PROD-000400,Strawberry Cream,21.0,15900.0,10000.0,323900.0
SLITEM-000003,SALE-2026-000003,PROD-000369,Butter Delight,35.0,17600.0,0.0,616000.0
SLITEM-000004,SALE-2026-000004,PROD-000051,Classic Cream,40.0,15200.0,12200.0,595800.0
SLITEM-000005,SALE-2026-000005,PROD-000035,Milk Crunch,24.0,12900.0,0.0,309600.0
SLITEM-000006,SALE-2026-000006,PROD-000213,Strawberry Cream,24.0,12300.0,0.0,295200.0
SLITEM-000007,SALE-2026-000007,PROD-000074,Premium Wafer,35.0,4600.0,3200.0,157800.0
SLITEM-000008,SALE-2026-000008,PROD-000070,Strawberry Cream,23.0,12800.0,8800.0,285600.0
SLITEM-000009,SALE-2026-000009,PROD-000012,Premium Wafer,6.0,5600.0,700.0,32900.0
SLITEM-000010,SALE-2026-000010,PROD-000097,Family Pack,21.0,11700.0,7400.0,238300.0
SLITEM-000011,SALE-2026-000011,PROD-000225,Vanilla Cream,7.0,18500.0,2600.0,126900.0
SLITEM-000012,SALE-2026-000012,PROD-000501,Caramel Cream,32.0,19900.0,0.0,636800.0
SLITEM-000013,SALE-2026-000013,PROD-000207,Butter Delight,39.0,4300.0,3400.0,164300.0
SLITEM-000014,SALE-2026-000014,PROD-000413,Chocolate Delight,39.0,16300.0,0.0,635700.0
SLITEM-000015,SALE-2026-000015,PROD-000444,Chocolate Delight,34.0,7100.0,0.0,241400.0
SLITEM-000016,SALE-2026-000016,PROD-000150,Chocolate Delight,35.0,11300.0,11900.0,383600.0
SLITEM-000017,SALE-2026-000017,PROD-000125,Vanilla Cream,21.0,7300.0,0.0,153300.0
SLITEM-000018,SALE-2026-000018,PROD-000285,Golden Crunch,18.0,4300.0,2300.0,75100.0
SLITEM-000019,SALE-2026-000019,PROD-000487,Milk Crunch,27.0,9700.0,0.0,261900.0
SLITEM-000020,SALE-2026-000020,PROD-000309,Vanilla Cream,16.0,12000.0,3800.0,188200.0
SLITEM-000021,SALE-2026-000021,PROD-000443,Classic Cream,17.0,13400.0,0.0,227800.0
SLITEM-000022,SALE-2026-000022,PROD-000221,Butter Delight,43.0,17700.0,22800.0,738300.0
SLITEM-000023,SALE-2026-000023,PROD-000339,Classic Cream,40.0,8000.0,0.0,320000.0
SLITEM-000024,SALE-2026-000024,PROD-000082,Rich Chocolate,34.0,6300.0,0.0,214200.0
SLITEM-000025,SALE-2026-000025,PROD-000317,Cocoa Sandwich,44.0,17000.0,22400.0,725600.0
SLITEM-000026,SALE-2026-000026,PROD-000298,Chocolate Delight,10.0,13400.0,0.0,134000.0
SLITEM-000027,SALE-2026-000027,PROD-000397,Premium Wafer,38.0,10100.0,11500.0,372300.0
SLITEM-000028,SALE-2026-000028,PROD-000123,Cocoa Sandwich,22.0,11300.0,0.0,248600.0
SLITEM-000029,SALE-2026-000029,PROD-000254,Classic Crackers,25.0,4300.0,2200.0,105300.0
SLITEM-000030,SALE-2026-000030,PROD-000014,Classic Crackers,23.0,8600.0,0.0,197800.0
SLITEM-000031,SALE-2026-000031,PROD-000286,Honey Crunch,34.0,15500.0,0.0,527000.0
SLITEM-000032,SALE-2026-000032,PROD-000408,Premium Wafer,5.0,8600.0,0.0,43000.0
SLITEM-000033,SALE-2026-000033,PROD-000414,Coconut Crunch,40.0,13300.0,0.0,532000.0
SLITEM-000034,SALE-2026-000034,PROD-000057,Family Pack,6.0,10000.0,0.0,60000.0
SLITEM-000035,SALE-2026-000035,PROD-000020,Vanilla Cream,6.0,11700.0,2100.0,68100.0
SLITEM-000036,SALE-2026-000036,PROD-000455,Honey Crunch,8.0,13400.0,0.0,107200.0
SLITEM-000037,SALE-2026-000037,PROD-000225,Vanilla Cream,7.0,18500.0,2600.0,126900.0
SLITEM-000038,SALE-2026-000038,PROD-000320,Classic Crackers,38.0,12000.0,13700.0,442300.0
SLITEM-000039,SALE-2026-000039,PROD-000431,Milk Crunch,30.0,13600.0,0.0,408000.0
SLITEM-000040,SALE-2026-000040,PROD-000365,Butter Delight,10.0,15700.0,0.0,157000.0
SLITEM-000041,SALE-2026-000041,PROD-000524,Vanilla Cream,20.0,6200.0,0.0,124000.0
SLITEM-000042,SALE-2026-000042,PROD-000004,Cocoa Sandwich,5.0,15100.0,1500.0,74000.0
SLITEM-000043,SALE-2026-000043,PROD-000089,Chocolate Delight,32.0,12300.0,11800.0,381800.0
SLITEM-000044,SALE-2026-000044,PROD-000183,Honey Crunch,42.0,16300.0,0.0,684600.0
SLITEM-000045,SALE-2026-000045,PROD-000429,Rich Chocolate,33.0,6200.0,0.0,204600.0
SLITEM-000046,SALE-2026-000046,PROD-000461,Cocoa Sandwich,35.0,12800.0,0.0,448000.0
SLITEM-000047,SALE-2026-000047,PROD-000174,Cocoa Sandwich,18.0,4400.0,0.0,79200.0
SLITEM-000048,SALE-2026-000048,PROD-000063,Caramel Cream,13.0,7800.0,3000.0,98400.0
SLITEM-000049,SALE-2026-000049,PROD-000126,Caramel Cream,28.0,11300.0,0.0,316400.0
SLITEM-000050,SALE-2026-000050,PROD-000300,Vanilla Cream,36.0,9400.0,0.0,338400.0
SLITEM-000051,SALE-2026-000051,PROD-000322,Chocolate Delight,21.0,10100.0,4200.0,207900.0
SLITEM-000052,SALE-2026-000052,PROD-000338,Classic Crackers,11.0,4200.0,1400.0,44800.0
SLITEM-000053,SALE-2026-000053,PROD-000325,Vanilla Cream,42.0,14100.0,17800.0,574400.0
SLITEM-000054,SALE-2026-000054,PROD-000142,Coconut Crunch,22.0,4900.0,0.0,107800.0
SLITEM-000055,SALE-2026-000055,PROD-000386,Strawberry Cream,21.0,7400.0,0.0,155400.0
SLITEM-000056,SALE-2026-000056,PROD-000175,Family Pack,41.0,9300.0,0.0,381300.0
SLITEM-000057,SALE-2026-000057,PROD-000016,Rich Chocolate,38.0,9200.0,0.0,349600.0
SLITEM-000058,SALE-2026-000058,PROD-000159,Honey Crunch,6.0,13500.0,1600.0,79400.0
SLITEM-000059,SALE-2026-000059,PROD-000479,Butter Delight,6.0,11900.0,1400.0,70000.0
SLITEM-000060,SALE-2026-000060,PROD-000461,Cocoa Sandwich,5.0,12800.0,1300.0,62700.0
SLITEM-000061,SALE-2026-000061,PROD-000056,Chocolate Delight,11.0,11700.0,0.0,128700.0
SLITEM-000062,SALE-2026-000062,PROD-000352,Classic Crackers,16.0,11000.0,5300.0,170700.0
SLITEM-000063,SALE-2026-000063,PROD-000200,Classic Crackers,35.0,13100.0,0.0,458500.0
SLITEM-000064,SALE-2026-000064,PROD-000524,Vanilla Cream,13.0,6200.0,0.0,80600.0
SLITEM-000065,SALE-2026-000065,PROD-000180,Rich Chocolate,11.0,11600.0,0.0,127600.0
SLITEM-000066,SALE-2026-000066,PROD-000467,Caramel Cream,7.0,12300.0,0.0,86100.0
